,Country ,Year,Population ,Per capita GNI ,"Agriculture, hunting, forestry, fishing (ISIC A-B) ",Construction (ISIC F) ,Exports of goods and services ,Imports of goods and services ,"Transport, storage and communication (ISIC I) ","Wholesale, retail trade, restaurants and hotels (ISIC G-H) ",Gross National Income(GNI) in USD ,Gross Domestic Product (GDP) ,cluster
0, Afghanistan ,2021,40099462,377,5002252164.0,300111089.0,1803587091.0,5900628595.0,1471191459.0,1562325057.0,15114672599.0,14939009447.0,0
1, Albania ,2021,2854710,6290,3228969140.0,1741168718.0,5590528223.0,8016544325.0,1116720699.0,2453057627.0,17956196785.0,18260043500.0,0
2, Algeria ,2021,44177969,3618,19903888815.0,18179521853.0,43703706766.0,43256511555.0,15738457930.0,21304705600.0,160000000000.0,163000000000.0,0
3, Andorra ,2021,79034,42066,17681968.0,258133073.0,1161415331.0,1112037714.0,170468361.0,663446350.0,3324647529.0,3324647529.0,0
4, Angola ,2021,34503774,2070,8101381220.0,4407157262.0,31095400431.0,11467589802.0,1434058969.0,14886742824.0,71422092267.0,70533243177.0,0
5, Antigua and Barbuda ,2021,93219,14735,31959259.0,192696296.0,724038736.0,839310581.0,120248148.0,263162963.0,1373574656.0,1421200000.0,0
6, Azerbaijan ,2021,10312992,5263,3209882353.0,3218176471.0,25487647059.0,16336941176.0,4723294118.0,6227176471.0,54276583194.0,54622176471.0,0
7, Argentina ,2021,45276780,10590,29352350216.0,17865319704.0,87867655491.0,72817326087.0,27389573485.0,75740905225.0,479000000000.0,487000000000.0,0
8, Australia ,2021,25921089,64490,55031298801.0,119000000000.0,448000000000.0,346000000000.0,104000000000.0,159000000000.0,1670000000000.0,1730000000000.0,2
9, Austria ,2021,8922082,54082,5822973541.0,31141351298.0,269000000000.0,266000000000.0,37959506191.0,66613258933.0,483000000000.0,480000000000.0,0
10, Bahamas ,2021,407906,25962,54885000.0,762441000.0,3081770000.0,4722510000.0,830946000.0,2226296000.0,10590100000.0,11208600000.0,0
11, Bahrain ,2021,1463265,24990,114292859.0,3203176391.0,35234574468.0,27577393617.0,2833060660.0,2483723819.0,36567518101.0,38868670213.0,0
12, Bangladesh ,2021,169356251,2579,48265542603.0,37550041398.0,44240614851.0,70788218221.0,34632158746.0,63174020514.0,437000000000.0,415000000000.0,0
